,QS Linear,,,QSGE Linear,,,QS Intersectional,,,QSGE Intersectional,,
sd_conversation_id_intercept,0.2502321479,0.2202991228,0.2873458604,0.228523557,0.1940431578,0.265490674,0.2517076857,0.2198475653,0.2909804603,0.2339202728,0.2004808851,0.274257157
sd_conversation_id_intercept,,,,0.02863435525,0.001823828694,0.06504903628,,,,0.0257583607,0.001409486013,0.06032180432
sd_conversation_id_intercept,,,,0.05705604728,0.03631501261,0.0794216672,,,,0.05823579139,0.03629072093,0.08090128808
sd_conversation_id_intercept,,,,0.04137384406,0.01690800049,0.06681579121,,,,0.04061001003,0.01617524872,0.06600145488
sd_conversation_id_intercept,,,,0.2562225394,-0.5553816405,0.8499170631,,,,0.2413963457,-0.5860018193,0.842820463
sd_conversation_id_intercept,,,,0.3330971001,0.003553191731,0.6708885141,,,,0.2760200772,-0.08178423299,0.6473210519
sd_conversation_id_intercept,,,,-0.05066785467,-0.7629591436,0.7413965354,,,,-0.05879616875,-0.7927028192,0.7167451953
sd_conversation_id_intercept,,,,0.6156050451,0.1915612402,0.9371136769,,,,0.6019755495,0.1569310889,0.9223445632
sd_conversation_id_intercept,,,,0.3766216805,-0.573203401,0.9068761045,,,,0.301661416,-0.5709809482,0.8825758228
sd_conversation_id_intercept,,,,0.5257349885,-0.06254624873,0.8467146541,,,,0.571261793,-0.04097110695,0.8823976309
